제조사,제조국,원산지,코코아퍼센트,평점,리뷰연도
Altus aka Cao Artisan,U.S.A.,Dominican Republic,70,3,2018
Amano,U.S.A.,Venezuela,70,3,2007
Amano,U.S.A.,Madagascar,70,3.5,2007
Amano,U.S.A.,Venezuela,70,3.75,2007
Amano,U.S.A.,Indonesia,70,2.75,2008
Amano,U.S.A.,Venezuela,70,3,2009
Amano,U.S.A.,Venezuela,70,3,2010
Amano,U.S.A.,Dominican Republic,70,3.75,2010
Amano,U.S.A.,Ecuador,70,4,2010
Amano,U.S.A.,Papua New Guinea,70,4,2011
Amatller (Simon Coll),Spain,Ecuador,70,2.75,2009
Amatller (Simon Coll),Spain,Ecuador,85,2.75,2009
Amatller (Simon Coll),Spain,Ghana,70,3,2009
Amatller (Simon Coll),Spain,Ghana,85,3,2009
Amazing Cacao,Russia,Peru,70,3,2017
Amazing Cacao,Russia,Peru,70,3.5,2017
Amazona,Peru,Peru,72,3.25,2013
Amazona,Peru,Peru,73,3.5,2013
Ambrosia,Canada,Belize,64,3,2015
Ambrosia,Canada,Madagascar,66,3.25,2015
Ambrosia,Canada,Dominican Republic,75,3.25,2015
Ambrosia,Canada,Papua New Guinea,63,3.25,2015
Ambrosia,Canada,Venezuela,70,3.25,2015
Ambrosia,Canada,Peru,68,3.5,2015
Amedei,Italy,Blend,66,3.75,2006
Amedei,Italy,Ecuador,70,3,2007
Amedei,Italy,Jamaica,70,3,2007
Amedei,Italy,Grenada,70,3.5,2007
Amedei,Italy,Trinidad,70,3.5,2007
Amedei,Italy,Blend,63,3.5,2007
Amedei,Italy,Venezuela,70,3.75,2007
Amedei,Italy,Peru,70,3.75,2012
Amedei,Italy,Madagascar,70,3,2018
Amedei,Italy,Venezuela,70,3,2018
Amedei,Italy,Venezuela,70,3,2018
Amedei,Italy,Blend,75,3.5,2018
Amedei,Italy,Blend,70,2.75,2019
AMMA,Brazil,Brazil,85,2.75,2010
AMMA,Brazil,Brazil,50,3.75,2010
AMMA,Brazil,Brazil,75,3.75,2010
AMMA,Brazil,Brazil,60,4,2010
AMMA,Brazil,Brazil,75,3.25,2013
Anahata,U.S.A.,Dominican Republic,75,3,2014
Animas,U.S.A.,Bolivia,75,3.5,2016
Animas,U.S.A.,Belize,75,3,2021
Animas,U.S.A.,Guatemala,75,3.25,2021
Ara,France,Mexico,72,2.5,2014
Ara,France,Ecuador,75,2.75,2014
Ara,France,Madagascar,75,3,2014
Ara,France,Venezuela,75,3,2014
Arete,U.S.A.,Brazil,75,2.75,2015
Arete,U.S.A.,Guatemala,70,3.25,2015
Arete,U.S.A.,Brazil,70,3.5,2015
Arete,U.S.A.,Peru,68,3.5,2015
Arete,U.S.A.,Dominican Republic,70,3.5,2015
Arete,U.S.A.,Ecuador,75,3.5,2015
Arete,U.S.A.,Ecuador,70,3.75,2015
Arete,U.S.A.,Belize,70,3.75,2015
Arete,U.S.A.,Nicaragua,70,4,2015
Arete,U.S.A.,Ecuador,70,3.25,2016
Arete,U.S.A.,Ecuador,70,3.25,2016
Arete,U.S.A.,Fiji,70,3.25,2016
Arete,U.S.A.,Vietnam,73,3.25,2016
Arete,U.S.A.,Trinidad,70,3.5,2016
Arete,U.S.A.,Vietnam,73,3.5,2016
Arete,U.S.A.,Guatemala,70,3.5,2016
Arete,U.S.A.,Honduras,70,3.5,2016
Arete,U.S.A.,Tanzania,70,3.75,2016
Arete,U.S.A.,Nicaragua,70,3.75,2016
Arete,U.S.A.,Dominican Republic,70,3.75,2016
Arete,U.S.A.,Costa Rica,70,4,2016
Arete,U.S.A.,Peru,70,4,2016
Arete,U.S.A.,India,70,3.5,2017
Arete,U.S.A.,Madagascar,70,3.5,2017
Arete,U.S.A.,Vietnam,73,3.5,2017
Arete,U.S.A.,Peru,70,3.5,2017
Arete,U.S.A.,Bolivia,70,4,2017
Arete,U.S.A.,Haiti,70,4,2017
Arete,U.S.A.,Trinidad,70,3,2018
Arete,U.S.A.,Colombia,70,4,2018
Arete,U.S.A.,India,70,3,2019
Arete,U.S.A.,India,70,3.25,2019
Argencove,Nicaragua,Nicaragua,70,3,2018
Argencove,Nicaragua,Nicaragua,70,3.25,2018
Argencove,Nicaragua,Nicaragua,70,3.5,2018
Argencove,Nicaragua,Nicaragua,70,3.5,2018
Artisan du Chocolat,U.K.,Congo,72,3.75,2008
Artisan du Chocolat,U.K.,Brazil,72,1.75,2009
Artisan du Chocolat,U.K.,Venezuela,75,2.5,2009
Artisan du Chocolat,U.K.,Indonesia,72,2.75,2009
Artisan du Chocolat,U.K.,Madagascar,80,3,2009
Artisan du Chocolat,U.K.,Peru,75,3,2009
Artisan du Chocolat,U.K.,Dominican Republic,72,3.25,2009
Artisan du Chocolat,U.K.,Venezuela,100,1.75,2010
Artisan du Chocolat,U.K.,Costa Rica,72,3.25,2010
Artisan du Chocolat,U.K.,Vietnam,72,3.25,2010
Artisan du Chocolat,U.K.,Indonesia,72,3.5,2010
Artisan du Chocolat,U.K.,Jamaica,72,3.75,2010
Artisan du Chocolat,U.K.,Panama,72,2.75,2011
Artisan du Chocolat,U.K.,Haiti,72,4,2011
Artisan du Chocolat,U.K.,Colombia,72,3.75,2012
Artisan du Chocolat,U.K.,Trinidad,72,3.25,2013
Artisan du Chocolat (Casa Luker),U.K.,Colombia,72,2.75,2013
Aruntam,Italy,India,72,3.25,2021
Aruntam,Italy,Madagascar,72,3.25,2021
Aruntam,Italy,Tanzania,72,3.5,2021
Askinosie,U.S.A.,Mexico,75,2.5,2007
Askinosie,U.S.A.,Ecuador,70,3,2007
Askinosie,U.S.A.,Philippines,77,3.75,2009
Askinosie,U.S.A.,Tanzania,72,3.75,2011
Askinosie,U.S.A.,Honduras,70,3.75,2011
Askinosie,U.S.A.,Tanzania,68,3.75,2016
Atypic,Australia,Solomon Islands,70,3,2019
Auro,Philippines,Philippines,77,2.75,2018
Auro,Philippines,Philippines,70,3,2018
Auro,Philippines,Philippines,70,3,2018
Auro,Philippines,Philippines,70,3.5,2018
Avanaa,Canada,Colombia,70,2.5,2021
Avanaa,Canada,Dominican Republic,70,3,2021
Bahen & Co.,Australia,Brazil,70,2.5,2012
Bahen & Co.,Australia,Blend,70,2.5,2012
Bahen & Co.,Australia,Madagascar,70,3,2012
Bahen & Co.,Australia,Blend,80,3.25,2015
Bahen & Co.,Australia,Papua New Guinea,70,3.5,2015
Baiani,Brazil,Brazil,70,3,2018
Bakau,Peru,Peru,70,2.75,2015
Bakau,Peru,Peru,70,3.5,2015
Bankston,U.S.A.,Belize,72,2.5,2019
Bankston,U.S.A.,Uganda,82,2.75,2019
Bankston,U.S.A.,Tanzania,72,3.25,2019
Bar Au Chocolat,U.S.A.,Dominican Republic,70,3.25,2012
Bar Au Chocolat,U.S.A.,Mexico,70,3.5,2012
Bar Au Chocolat,U.S.A.,Madagascar,70,3.75,2012
Bar Au Chocolat,U.S.A.,Peru,70,4,2014
Bar Au Chocolat,U.S.A.,Brazil,70,3.5,2015
Bar Au Chocolat,U.S.A.,Costa Rica,72,3.5,2017
Bar Au Chocolat,U.S.A.,Trinidad,80,3.5,2017
Baravelli's,Wales,Costa Rica,80,2.75,2012
Batch,U.S.A.,Ecuador,65,3.25,2016
Batch,U.S.A.,Dominican Republic,65,3.5,2016
Batch,U.S.A.,Brazil,70,3.75,2016
Bean,U.K.,Peru,70,2.25,2019
Beau Cacao,U.K.,Malaysia,73,3,2017
Beau Cacao,U.K.,Malaysia,72,3.25,2017
Beehive,U.S.A.,Brazil,80,2.75,2016
Beehive,U.S.A.,Dominican Republic,70,2.75,2016
Beehive,U.S.A.,Ecuador,70,2.75,2016
Beehive,U.S.A.,Ecuador,90,2.75,2016
Belcolade,Belgium,Costa Rica,64,2.75,2010
Belcolade,Belgium,Papua New Guinea,64,2.75,2010
Belcolade,Belgium,Peru,64,2.75,2010
Belcolade,Belgium,Ecuador,71,3.5,2010
Bellflower,U.S.A.,Bolivia,70,3.25,2016
Bellflower,U.S.A.,Tanzania,70,3.5,2016
Bellflower,U.S.A.,Dominican Republic,70,3.5,2016
Belvie,Vietnam,Vietnam,75,3.25,2018
Belvie,Vietnam,Vietnam,70,3.75,2021
Belyzium,Germany,Belize,83,2.75,2016
Belyzium,Germany,Belize,78,3,2016
Belyzium,Germany,Belize,83,3.5,2016
Benns,Singapore,Vietnam,72,3,2018
Benns,Singapore,India,72,3,2018
Benns,Singapore,Malaysia,72,3,2018
Benoit Nihant,Belgium,Madagascar,72,3.75,2011
Benoit Nihant,Belgium,Indonesia,72,4,2011
Benoit Nihant,Belgium,Cuba,74,3.5,2013
Benoit Nihant,Belgium,Venezuela,74,3.5,2013
Benoit Nihant,Belgium,Venezuela,74,3.5,2013
Benoit Nihant,Belgium,Ecuador,73,4,2013
Bernachon,France,Blend,55,2.75,2012
Beschle (Felchlin),Switzerland,Venezuela,70,3.25,2010
Beschle (Felchlin),Switzerland,Venezuela,74,3.25,2010
Beschle (Felchlin),Switzerland,Indonesia,64,3.5,2010
Beschle (Felchlin),Switzerland,Venezuela,72,3.5,2010
Beschle (Felchlin),Switzerland,Madagascar,64,3,2011
Beschle (Felchlin),Switzerland,Venezuela,88,3,2011
Beschle (Felchlin),Switzerland,Venezuela,72,3.5,2011
Beschle (Felchlin),Switzerland,Ecuador,72,4,2011
Bisou,U.S.A.,Nicaragua,76,2.5,2015
Bisou,U.S.A.,Costa Rica,76,2.5,2015
Bisou,U.S.A.,Costa Rica,78,2.5,2015
Bisou,U.S.A.,Belize,86,3.25,2015
Bitacora,Venezuela,Venezuela,70,3,2018
Bitacora,Venezuela,Venezuela,70,3,2018
Bitacora,Venezuela,Venezuela,70,3.5,2018
Bittersweet Origins,U.S.A.,Madagascar,71,3,2008
Bittersweet Origins,U.S.A.,Ghana,70,3,2008
Bittersweet Origins,U.S.A.,Panama,75,3.5,2008
Bittersweet Origins,U.S.A.,Dominican Republic,68,3.75,2008
Bittersweet Origins,U.S.A.,Dominican Republic,75,3,2009
Bittersweet Origins,U.S.A.,Madagascar,75,3.25,2009
Bittersweet Origins,U.S.A.,Dominican Republic,65,3.5,2009
Bittersweet Origins,U.S.A.,Madagascar,65,3.5,2009
Bittersweet Origins,U.S.A.,Indonesia,65,2.75,2010
Bittersweet Origins,U.S.A.,Madagascar,70,3,2010
Bittersweet Origins,U.S.A.,Venezuela,78,3,2010
Bittersweet Origins,U.S.A.,Indonesia,75,3.25,2010
Bittersweet Origins,U.S.A.,Blend,70,3.75,2010
Bittersweet Origins,U.S.A.,Ghana,72,3.5,2012
Bixby,U.S.A.,Haiti,70,3,2018
Bixby,U.S.A.,Guatemala,70,3,2018
Bixby,U.S.A.,Dominican Republic,70,3.25,2018
Bixby,U.S.A.,Belize,70,2.75,2019
Black Mountain,U.S.A.,Dominican Republic,70,2.75,2008
Black Mountain,U.S.A.,Venezuela,70,2.75,2008
Black Mountain,U.S.A.,Nicaragua,70,3,2008
Black Mountain,U.S.A.,Dominican Republic,70,3.75,2021
Black River (A. Morin),U.K.,Jamaica,70,2.75,2014
Black Sheep,U.S.A.,Colombia,72,3.25,2021
Black Sheep,U.S.A.,Belize,72,3.25,2021
Blanxart,Spain,Blend,72,2.75,2009
Blanxart,Spain,Congo,82,3.5,2013
Blue Bandana,U.S.A.,Guatemala,70,3.5,2012
Blue Bandana,U.S.A.,Madagascar,70,3.75,2012
Blue Bandana,U.S.A.,Guatemala,75,2.75,2016
Blue Bandana,U.S.A.,Dominican Republic,75,3,2016
Blue Bandana,U.S.A.,Madagascar,82,3.5,2016
Blue Bandana,U.S.A.,Tanzania,75,3.5,2016
Boho,U.S.A.,Belize,70,2.75,2017
Bonaterra,Malaysia,Malaysia,68,2.5,2019
Bonaterra,Malaysia,Malaysia,72,2.75,2019
Bonaterra,Malaysia,Malaysia,74,3.25,2019
Bonnat,France,Blend,100,1.5,2006
Bonnat,France,Sri Lanka,75,3,2006
Bonnat,France,Blend,75,3.75,2006
Bonnat,France,Venezuela,75,3.75,2006
Bonnat,France,Madagascar,75,3.75,2006
Bonnat,France,Venezuela,75,4,2006
Bonnat,France,Venezuela,75,4,2006
Bonnat,France,Ecuador,75,2.5,2007
Bonnat,France,Venezuela,75,4,2008
Bonnat,France,Peru,75,2.75,2009
Bonnat,France,Ivory Coast,75,3,2009
Bonnat,France,Mexico,75,3,2009
Bonnat,France,Mexico,75,3,2009
Bonnat,France,Jamaica,75,3.25,2011
Bonnat,France,Cuba,75,3.5,2011
Bonnat,France,Peru,75,3.5,2011
Bonnat,France,Peru,75,3.5,2011
Bonnat,France,Brazil,75,3.5,2011
Bonnat,France,Brazil,75,3.75,2011
Bonnat,France,Haiti,75,4,2011
Bonnat,France,Madagascar,75,4,2011
Bonnat,France,Gabon,75,3.25,2013
Bonnat,France,Brazil,75,3.5,2013
Bonnat,France,Dominican Republic,75,3.25,2014
Bonnat,France,Blend,65,3.75,2014
Bonnat,France,Brazil,75,4,2014
Bonnat,France,Mexico,75,3.5,2016
Bonnat,France,Peru,75,4,2018
Bonnat,France,Blend,75,4,2018
Bonnat,France,Nicaragua,75,3.75,2021
Bouga Cacao (Tulicorp),Ecuador,Ecuador,100,1.5,2009
Bouga Cacao (Tulicorp),Ecuador,Ecuador,77,3.25,2009
Bowler Man,U.S.A.,Belize,70,2.75,2014
Bowler Man,U.S.A.,Dominican Republic,70,2.75,2014
Brasstown,U.S.A.,Ecuador,75,3.5,2018
Brasstown,U.S.A.,Peru,70,3.75,2018
Brasstown,U.S.A.,Bolivia,70,4,2018
Brasstown,U.S.A.,Tanzania,62,3,2021
Brasstown aka It's Chocolate,U.S.A.,Dominican Republic,72,3,2013
Brasstown aka It's Chocolate,U.S.A.,Ecuador,70,3.25,2013
Brasstown aka It's Chocolate,U.S.A.,Ghana,75,3.5,2013
Brasstown aka It's Chocolate,U.S.A.,Venezuela,85,3.5,2013
Brasstown aka It's Chocolate,U.S.A.,Belize,70,3.75,2014
Brasstown aka It's Chocolate,U.S.A.,Venezuela,70,4,2014
Brasstown aka It's Chocolate,U.S.A.,Dominican Republic,68,3.75,2015
Brasstown aka It's Chocolate,U.S.A.,Venezuela,70,3.5,2016
Brasstown aka It's Chocolate,U.S.A.,Nicaragua,70,3.75,2016
Brasstown aka It's Chocolate,U.S.A.,Dominican Republic,70,3.25,2017
Brasstown aka It's Chocolate,U.S.A.,Ecuador,75,3.75,2017
Brazen,U.S.A.,Madagascar,80,2.75,2015
Brazen,U.S.A.,Dominican Republic,60,3,2015
Brazen,U.S.A.,Dominican Republic,80,3.25,2015
Brazen,U.S.A.,Belize,80,3.25,2015
Brazen,U.S.A.,Madagascar,60,3.25,2015
Brazen,U.S.A.,Guatemala,70,3.5,2015
Breeze Mill,U.S.A.,Jamaica,70,3,2013
Bright,Australia,Trinidad,68,2.75,2014
Bright,Australia,Madagascar,72,3,2014
Bright,Australia,Dominican Republic,70,3.5,2014
Bright,Australia,Ecuador,72,3.5,2014
Britarev,Russia,Ecuador,70,3.25,2015
Bronx Grrl Chocolate,U.S.A.,Dominican Republic,68,2.75,2013
Bullion,U.K.,Bolivia,70,2.5,2018
Bullion,U.K.,Guatemala,70,3,2018
Burnt Fork Bend,U.S.A.,Ecuador,60,2.5,2014
Burnt Fork Bend,U.S.A.,Trinidad,72,3.25,2014
Burnt Fork Bend,U.S.A.,Belize,72,3.25,2014
Burnt Fork Bend,U.S.A.,Blend,72,3.25,2014
Burnt Fork Bend,U.S.A.,Ecuador,72,3.5,2014
By Cacao,South Korea,Ecuador,70,3,2019
Cacai Cacao,Taiwan,Taiwan,70,3.25,2019
Cacai Cacao,Taiwan,Philippines,70,3.5,2019
Cacao 70,Canada,Guatemala,70,3,2019
Cacao 70,Canada,Guatemala,70,3.5,2019
Cacao 70,Canada,Bolivia,70,3.75,2019
Cacao Arabuco,Puerto Rico,Puerto Rico,70,2.5,2015
Cacao Atlanta,U.S.A.,Venezuela,75,2.25,2010
Cacao Atlanta,U.S.A.,Dominican Republic,75,2.5,2010
Cacao Atlanta,U.S.A.,Dominican Republic,75,2.75,2010
Cacao Atlanta,U.S.A.,Peru,75,2.5,2014
Cacao Barry,France,Venezuela,72,2,2007
Cacao Barry,France,Mexico,66,3,2007
Cacao Barry,France,Tanzania,75,2,2008
Cacao Barry,France,Dominican Republic,70,3,2010
Cacao Barry,France,Haiti,65,3.5,2016
Cacao Betulia,Switzerland,Colombia,72,2.5,2018
Cacao Betulia,Switzerland,Colombia,72,3,2018
Cacao Betulia,Switzerland,Colombia,72,3.75,2018
Cacao de Origen,Venezuela,Venezuela,75,2.5,2014
Cacao de Origen,Venezuela,Venezuela,74,3.25,2014
Cacao de Origen,Venezuela,Venezuela,75,3.5,2014
Cacao de Origen,Venezuela,Venezuela,70,3.75,2014
Cacao de Origen,Venezuela,Venezuela,74,3.25,2015
Cacao de Origen,Venezuela,Venezuela,75,3.25,2015
Cacao de Origen,Venezuela,Venezuela,77,3.5,2015
Cacao de Origen,Venezuela,Venezuela,75,2.75,2018
Cacao de Origen,Venezuela,Venezuela,75,2.5,2019
Cacao de Origen,Venezuela,Venezuela,70,3,2019
Cacao Gonzales,U.S.A.,Venezuela,70,3,2018
Cacao Hunters,Colombia,Colombia,69,2.75,2014
Cacao Hunters,Colombia,Colombia,70,3.25,2014
Cacao Hunters,Colombia,Colombia,64,3.5,2014
Cacao Hunters,Colombia,Colombia,70,3.5,2014
Cacao Hunters,Colombia,Colombia,72,3.75,2015
Cacao Hunters,Colombia,Colombia,71,3.75,2016
Cacao Hunters,Colombia,Colombia,74,3.75,2016
Cacao Market,U.S.A.,Honduras,70,3.5,2016
Cacao Prieto,U.S.A.,Dominican Republic,72,3,2011
Cacao Prieto,U.S.A.,Dominican Republic,65,3.25,2011
Cacao Prieto,U.S.A.,Dominican Republic,66,3.75,2011
Cacao Prieto,U.S.A.,Dominican Republic,72,3.75,2012
Cacao Sampaka,Spain,Mexico,70,4,2009
Cacao Sampaka,Spain,Mexico,70,4,2009
Cacao Sampaka,Spain,Grenada,71,3.25,2010
Cacao Sampaka,Spain,Madagascar,71,3.5,2010
Cacao Sampaka,Spain,Venezuela,71,3.5,2010
Cacao Sampaka,Spain,Venezuela,77,3.5,2010
Cacao Sampaka,Spain,Ecuador,71,3.75,2010
Cacao Sampaka,Spain,Papua New Guinea,71,4,2010
Cacao Sampaka,Spain,Congo,70,3.5,2016
Cacao Santa Fe (Art of Chocolate),U.S.A.,Dominican Republic,72,2.75,2020
Cacao Santa Fe (Art of Chocolate),U.S.A.,Peru,72,2.75,2020
Cacao Santa Fe (Art of Chocolate),U.S.A.,Ecuador,72,3,2020
Cacao Store,Japan,Madagascar,70,3,2015
Cacao Store,Japan,Peru,70,3.25,2015
Cacao Store,Japan,Vietnam,70,3.5,2015
Cacaodada,South Korea,Ghana,70,3,2018
Cacaodada,South Korea,Dominican Republic,70,3.25,2018
Cacaodada,South Korea,Ecuador,70,3.5,2018
Cacaosuyo,Peru,Peru,70,3.5,2021
Cacaosuyo,Peru,Peru,70,3.5,2021
Cacaosuyo,Peru,Peru,80,3.5,2021
Cacaosuyo,Peru,Peru,70,4,2021
Cacaoyere (Ecuatoriana),Ecuador,Ecuador,91,1.5,2008
Cacaoyere (Ecuatoriana),Ecuador,Ecuador,82,2.5,2008
Cacaoyere (Ecuatoriana),Ecuador,Ecuador,63,3.5,2008
Cacaoyere (Ecuatoriana),Ecuador,Ecuador,71,3.5,2008
Callebaut,Belgium,Ecuador,70,1,2007
Callebaut,Belgium,Grenada,60,2.75,2008
C-Amaro,Italy,Sao Tome,78,2.25,2011
C-Amaro,Italy,Trinidad,70,2.5,2011
C-Amaro,Italy,Venezuela,80,3,2012
C-Amaro,Italy,Ecuador,100,3.5,2013
C-Amaro,Italy,Cuba,75,2.5,2014
C-Amaro,Italy,Dominican Republic,72,3,2014
C-Amaro,Italy,Blend,70,3.5,2014
Cao,U.S.A.,Venezuela,75,2.5,2016
Cao,U.S.A.,Tanzania,73,2.75,2016
Cao,U.S.A.,Venezuela,70,3,2016
Cao,U.S.A.,Bolivia,75,3,2016
Cao,U.S.A.,Brazil,70,3.25,2016
Caofiori,Colombia,Colombia,70,3.25,2021
Caofiori,Colombia,Colombia,70,3.25,2021
Caofiori,Colombia,Colombia,70,3.5,2021
Caofiori,Colombia,Colombia,70,3.75,2021
Caoni (Tulicorp),Ecuador,Ecuador,77,2,2008
Caoni (Tulicorp),Ecuador,Ecuador,77,2.5,2008
Caoni (Tulicorp),Ecuador,Ecuador,77,2.75,2008
Caoni (Tulicorp),Ecuador,Ecuador,55,3,2008
Caoni (Tulicorp),Ecuador,Ecuador,55,3.25,2008
Caoni (Tulicorp),Ecuador,Ecuador,55,3.5,2008
Captain Pembleton,New Zealand,Papua New Guinea,70,3.5,2014
Captain Pembleton,New Zealand,Papua New Guinea,70,3.75,2014
CAR Artisan,U.S.A.,Nicaragua,70,3,2021
CAR Artisan,U.S.A.,Tanzania,70,3.25,2021
CAR Artisan,U.S.A.,Peru,70,3.25,2021
CAR Artisan,U.S.A.,Mexico,70,3.25,2021
Caribeans,Costa Rica,Costa Rica,80,2.75,2012
Caribeans,Costa Rica,Costa Rica,72,3,2012
Caribeans,Costa Rica,Costa Rica,72,3.25,2015
Caribeans,Costa Rica,Guatemala,72,3.5,2015
Caribeans,Costa Rica,Costa Rica,72,3.5,2015
Carlotta Chocolat,Colombia,Colombia,65,3,2016
Carlotta Chocolat,Colombia,Colombia,65,3.25,2016
Carlotta Chocolat,Colombia,Colombia,65,3.25,2016
Carlotta Chocolat,Colombia,Colombia,65,3.5,2016
Carlotta Chocolat,Colombia,Colombia,65,3.5,2016
Casa,U.S.A.,Blend,75,2,2018
Casa Lasevicius,Brazil,Brazil,71,3,2019
Casa Lasevicius,Brazil,Brazil,65,3.25,2019
Castronovo,U.S.A.,Peru,70,2.5,2013
Castronovo,U.S.A.,Peru,70,2.75,2013
Castronovo,U.S.A.,Bolivia,70,3,2013
Castronovo,U.S.A.,Venezuela,72,3,2013
Castronovo,U.S.A.,Venezuela,70,3.25,2013
Castronovo,U.S.A.,Nicaragua,72,3.25,2013
Castronovo,U.S.A.,Dominican Republic,73,3.5,2013
Castronovo,U.S.A.,Dominican Republic,70,2.75,2014
Castronovo,U.S.A.,Colombia,72,3.5,2014
Castronovo,U.S.A.,Colombia,76,3.5,2014
Castronovo,U.S.A.,Honduras,72,3.5,2015
Castronovo,U.S.A.,Venezuela,72,3.5,2015
Castronovo,U.S.A.,Dominican Republic,70,3.75,2015
Castronovo,U.S.A.,Belize,72,4,2016
Castronovo,U.S.A.,Venezuela,70,3.25,2017
Castronovo,U.S.A.,Puerto Rico,70,3.5,2019
Castronovo,U.S.A.,Mexico,70,3.75,2019
Castronovo,U.S.A.,Peru,70,4,2021
Castronovo,U.S.A.,Venezuela,72,4,2021
Cello,U.S.A.,Ecuador,70,2.5,2014
Cello,U.S.A.,Peru,70,2.75,2014
Cello,U.S.A.,Venezuela,70,2.75,2014
Cello,U.S.A.,Bolivia,70,3,2014
Cemoi,France,Ecuador,72,2.75,2009
Chaleur B,Canada,Uganda,70,2.75,2014
Chaleur B,Canada,Madagascar,70,3,2021
Chaleur B,Canada,Belize,70,3,2021
Chaleur B,Canada,Peru,72,3.25,2021
Chapon,France,Bolivia,74,3,2017
Chapon,France,Venezuela,68,3.5,2018
Charm School,U.S.A.,Belize,70,3.25,2016
Chchukululu (Tulicorp),Ecuador,Ecuador,75,3,2008
Chchukululu (Tulicorp),Ecuador,Ecuador,55,2.75,2010
Chequessett,U.S.A.,Costa Rica,70,3.5,2014
Chequessett,U.S.A.,Peru,72,3,2018
Chequessett,U.S.A.,Ecuador,72,3.5,2019
Chequessett,U.S.A.,Colombia,83,3.25,2021
Chequessett,U.S.A.,Dominican Republic,69,3.25,2021
Chloe Chocolat,France,Blend,70,3.5,2011
Chocablog,U.K.,Ecuador,70,3.25,2015
Choco Del Sol,Germany,Belize,75,3,2014
