국가,코드,대륙,연도,적색목록지수(생물다양성)
Palestine,PSE,아시아,2024,0.9
Portugal,PRT,유럽,2024,0.9
Somalia,SOM,아프리카,2024,0.9
Svalbard and Jan Mayen,SJM,기타,2024,0.9
Turkey,TUR,아시아,2024,0.9
Anguilla,AIA,북미,2024,0.89
Antigua and Barbuda,ATG,북미,2024,0.89
Bonaire Sint Eustatius and Saba,BES,북미,2024,0.89
Bosnia and Herzegovina,BIH,유럽,2024,0.89
Croatia,HRV,유럽,2024,0.89
Curacao,CUW,북미,2024,0.89
Guinea,GIN,아프리카,2024,0.89
Hong Kong,HKG,아시아,2024,0.89
Kyrgyzstan,KGZ,아시아,2024,0.89
Romania,ROU,유럽,2024,0.89
Rwanda,RWA,아프리카,2024,0.89
Saudi Arabia,SAU,아시아,2024,0.89
Brazil,BRA,남미,2024,0.88
Democratic Republic of Congo,COD,아프리카,2024,0.88
Eritrea,ERI,아프리카,2024,0.88
Faroe Islands,FRO,유럽,2024,0.88
Iceland,ISL,유럽,2024,0.88
Ireland,IRL,유럽,2024,0.88
Kazakhstan,KAZ,아시아,2024,0.88
Monaco,MCO,유럽,2024,0.88
Morocco,MAR,아프리카,2024,0.88
Oman,OMN,아시아,2024,0.88
Zambia,ZMB,아프리카,2024,0.88
American Samoa,ASM,오세아니아,2024,0.87
Austria,AUT,유럽,2024,0.87
Greece,GRC,유럽,2024,0.87
Guyana,GUY,남미,2024,0.87
Italy,ITA,유럽,2024,0.87
Saint Pierre and Miquelon,SPM,북미,2024,0.87
Togo,TGO,아프리카,2024,0.87
Trinidad and Tobago,TTO,북미,2024,0.87
Yemen,YEM,아시아,2024,0.87
Argentina,ARG,남미,2024,0.86
Barbados,BRB,북미,2024,0.86
Iran,IRN,아시아,2024,0.86
Kuwait,KWT,아시아,2024,0.86
Spain,ESP,유럽,2024,0.86
Bolivia,BOL,남미,2024,0.85
Brunei,BRN,아시아,2024,0.85
Ethiopia,ETH,아프리카,2024,0.85
Nepal,NPL,아시아,2024,0.85
Nigeria,NGA,아프리카,2024,0.85
Turks and Caicos Islands,TCA,북미,2024,0.85
Armenia,ARM,아시아,2024,0.84
Cameroon,CMR,아프리카,2024,0.84
Costa Rica,CRI,북미,2024,0.84
East Timor,TLS,아시아,2024,0.84
Maldives,MDV,아시아,2024,0.84
Montenegro,MNE,유럽,2024,0.84
San Marino,SMR,유럽,2024,0.84
Singapore,SGP,아시아,2024,0.84
Tokelau,TKL,오세아니아,2024,0.84
United Arab Emirates,ARE,아시아,2024,0.84
Wallis and Futuna,WLF,오세아니아,2024,0.84
France,FRA,유럽,2024,0.83
French Southern Territories,ATF,기타,2024,0.83
Ghana,GHA,아프리카,2024,0.83
Laos,LAO,아시아,2024,0.83
Mayotte,MYT,아프리카,2024,0.83
United States,USA,북미,2024,0.83
Bhutan,BTN,아시아,2024,0.82
Cayman Islands,CYM,북미,2024,0.82
Equatorial Guinea,GNQ,아프리카,2024,0.82
Macao,MAC,아시아,2024,0.82
Marshall Islands,MHL,오세아니아,2024,0.82
Nicaragua,NIC,북미,2024,0.82
Pakistan,PAK,아시아,2024,0.82
Papua New Guinea,PNG,오세아니아,2024,0.82
Tuvalu,TUV,오세아니아,2024,0.82
United States Virgin Islands,VIR,북미,2024,0.82
Vatican,VAT,유럽,2024,0.82
Australia,AUS,오세아니아,2024,0.81
Djibouti,DJI,아프리카,2024,0.81
El Salvador,SLV,북미,2024,0.81
Eswatini,SWZ,아프리카,2024,0.81
Malawi,MWI,아프리카,2024,0.81
Nauru,NRU,오세아니아,2024,0.81
Qatar,QAT,아시아,2024,0.81
Venezuela,VEN,남미,2024,0.81
British Indian Ocean Territory,IOT,아시아,2024,0.8
Niue,NIU,오세아니아,2024,0.8
Cambodia,KHM,아시아,2024,0.79
Cook Islands,COK,오세아니아,2024,0.79
Iraq,IRQ,아시아,2024,0.79
Myanmar,MMR,아시아,2024,0.79
Sao Tome and Principe,STP,아프리카,2024,0.79
Zimbabwe,ZWE,아프리카,2024,0.79
Belize,BLZ,북미,2024,0.78
Mozambique,MOZ,아프리카,2024,0.78
Saint Lucia,LCA,북미,2024,0.78
British Virgin Islands,VGB,북미,2024,0.77
Kenya,KEN,아프리카,2024,0.77
Cocos Islands,CCK,아시아,2024,0.76
Samoa,WSM,오세아니아,2024,0.76
South Africa,ZAF,아프리카,2024,0.76
Thailand,THA,아시아,2024,0.76
Chile,CHL,남미,2024,0.75
Indonesia,IDN,아시아,2024,0.75
Japan,JPN,아시아,2024,0.75
Solomon Islands,SLB,오세아니아,2024,0.75
Colombia,COL,남미,2024,0.74
Falkland Islands,FLK,남미,2024,0.74
Honduras,HND,북미,2024,0.74
Kiribati,KIR,오세아니아,2024,0.74
Madagascar,MDG,아프리카,2024,0.74
Peru,PER,남미,2024,0.74
Saint Vincent and the Grenadines,VCT,북미,2024,0.74
Uganda,UGA,아프리카,2024,0.74
Bahrain,BHR,아시아,2024,0.73
Bangladesh,BGD,아시아,2024,0.73
Dominican Republic,DOM,북미,2024,0.73
China,CHN,아시아,2024,0.72
Comoros,COM,아프리카,2024,0.72
Guatemala,GTM,북미,2024,0.72
Haiti,HTI,북미,2024,0.72
Israel,ISR,아시아,2024,0.72
Panama,PAN,북미,2024,0.72
Tonga,TON,오세아니아,2024,0.72
Bahamas,BHS,북미,2024,0.7
French Polynesia,PYF,오세아니아,2024,0.7
Pitcairn,PCN,오세아니아,2024,0.7
Vietnam,VNM,아시아,2024,0.7
Dominica,DMA,북미,2024,0.69
Fiji,FJI,오세아니아,2024,0.69
Malaysia,MYS,아시아,2024,0.69
Martinique,MTQ,북미,2024,0.69
Norfolk Island,NFK,오세아니아,2024,0.69
Puerto Rico,PRI,북미,2024,0.69
Mexico,MEX,북미,2024,0.68
South Korea,KOR,아시아,2024,0.68
Tanzania,TZA,아프리카,2024,0.68
Cuba,CUB,북미,2024,0.67
India,IND,아시아,2024,0.67
Philippines,PHL,아시아,2024,0.67
Seychelles,SYC,아프리카,2024,0.67
Palau,PLW,오세아니아,2024,0.66
Vanuatu,VUT,오세아니아,2024,0.66
Ecuador,ECU,남미,2024,0.65
Micronesia (country),FSM,오세아니아,2024,0.65
Jamaica,JAM,북미,2024,0.64
New Zealand,NZL,오세아니아,2024,0.64
Saint Helena,SHN,아프리카,2024,0.64
New Caledonia,NCL,오세아니아,2024,0.63
Grenada,GRD,북미,2024,0.62
Bermuda,BMU,북미,2024,0.61
Montserrat,MSR,북미,2024,0.6
Guadeloupe,GLP,북미,2024,0.59
Northern Mariana Islands,MNP,오세아니아,2024,0.58
Sri Lanka,LKA,아시아,2024,0.56
Reunion,REU,아프리카,2024,0.54
Christmas Island,CXR,아시아,2024,0.45
Saint Kitts and Nevis,KNA,북미,2024,0.45
Mauritius,MUS,아프리카,2024,0.38
Guam,GUM,오세아니아,2024,0.36
